,종목명,현재가,전일대비,등락률
0,삼성전자,"71,100","상승 1,000",+1.43%
1,SK하이닉스,"287,000","상승 10,000",+3.61%
2,LG에너지솔루션,"347,000","상승 3,500",+1.02%
3,삼성바이오로직스,"1,036,000","상승 5,000",+0.48%
4,한화에어로스페이스,"947,000","하락 4,000",-0.42%
5,삼성전자우,"58,200",상승 700,+1.22%
6,현대차,"219,750","상승 1,250",+0.57%
7,HD현대중공업,"501,000","하락 10,000",-1.96%
8,KB금융,"109,200","상승 2,500",+2.34%
9,기아,"105,600",상승 700,+0.67%
10,두산에너빌리티,"62,100","상승 1,200",+1.97%
11,셀트리온,"169,600",하락 400,-0.24%
12,NAVER,"232,000","상승 4,000",+1.75%
13,한화오션,"110,100",하락 800,-0.72%
14,신한지주,"65,400","상승 1,000",+1.55%
