상품명,가격,url
Apple 애플 아이폰 13 미니 128GB 새상품,"298,000원",https://cr.shopping.naver.com/adcr?x=VxavQy4i25Aybu7Rlq08Qv%2F%2F%2Fw%3D%3DsGwUUVtWmzz2PrU4oAo7uua1odJ2%2F6LBtogIwFjN3ri1yoYErd7Wx1dfdVO6hh7qVMbyjHOiFr9TJG19ynBRTRsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiV%2F%2BqduCnLdmaLBXEPtE2%2FbXUypH%2BGbsWLTG%2FS2js7Rx0icFZ1rxlhAQy64TWQeiyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1zPnBo0jGi%2FSdSlDWdPE2TZznAAH%2FDJkgOxgHmnSf1jQEDW6PuCDBDx13KVgX8FmMQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNg4G4SGTUBfvuZXxEh5dAtcUlnTe%2Bq%2FRuRxi5rXKKROMbF4OZVL2Q%2FcwuxYvViSTh%2F4PzmWxMBgw%2FsYqXl1ymjHUl1Mb6CmDxR1AktcPJbKngLwgHSP3DD1GBfo2Ry7n82dFqn9EtHPPkp8WxjFFMRTBK7bxfhjLutrsEfkVCvcrmizsw57iASTSdiNeVn6LnWD7VD1bWrOzy%2FEGoKY7dKPTn%2BIvcxawVxNuePP9ktetRpdLJBo4KrDhyu8x%2FXb0ZktX%2FDLZQdSo3ix0kwlBIJeB%2FaZ8wxZd28c0hrtmjZHpzY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=88573763568&catId=50001519
아이폰 16 프로 128GB [자급제],"최저1,538,900원",https://cr.shopping.naver.com/adcr?x=VPOxXVWa48LCphNeyW627v%2F%2F%2Fw%3D%3DsvJvBjWPu%2BHECNFhEEZYIdxsVmF%2BoI%2FaEZ%2B2b8EgTULjxTAJR5s3V3RheLYZrm3hTDfVYWNQ3%2F89%2B%2B%2FuV2qJMmWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfU6Y3SqDuFw9JJKwvj3hBHe185FqQyCW03qCKaR5kUq2iOn%2Bj7IUQI8of0px3C%2Bdlw334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMtRDsmyJXi8r0AaBiYB%2FiTAY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpFBioyGYc1IlucKuBLuPxSHp%2BE1eXKkc9kdApaBnZebWsHPv45Edr5fvvv%2FlTzZa4UKACIcvjm9KCCK%2BV9VTgME2pQBnWymDqDJwVY0ZwfyAPVBDMIut42nyyM8MGNK2LFGsRl2PUazvcwFqYwQ5dSXXoofbrBiLba6RJBY9jlqkEWIF0%2FFNK69g5vrsUBgEAaau04OSPv%2Bxwf9oqtrtppP0fvO8k5l%2FWhCW10dj%2BY%2FB0P%2BQUw7izuxPHixtztdddBQqrZur0QoiQJsbpAcsiGJS1FTC5mTfdzk%2FYDN9vVyZ%2FPo1PGr11iUf3dB6bdv59GIDf9TYDOC4LzgCehLsur5esFeFEqlhg2O72qWfBhd5ZxbyFwguFe4%2F8i0ig4%2FwUrke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=53599505975&catId=50001519
아이폰 16 프로 256GB [자급제],"최저1,647,990원",https://cr.shopping.naver.com/adcr?x=74WSpHf6DjB9t1X2wEAiSv%2F%2F%2Fw%3D%3Ds8%2BrEyfn5trgC58rUmwpLlXRPOrI6si8B7QgpHf1z9bAAjU5j3gjlMYsRq8%2BGHFpSP9HpX23E4AKSg8uOvT%2FzgjXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVLoy1uZGWX4BlLMrGU94yA648ajbE0DjgZYoUCp5MH1Bm93HRuRegsUs8ARrA7DQL2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlGN0NfV2mFWa73z2bhDd9rFvLxjHMff%2BgVyiwLG0MmiL%2BE8YCiibN06F7pXXqOPTLASl8w9RAJ94JGF5Lt3C38fRo%2BlkyIMAJ9z5iXkGPVIWj9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ6FT2Jqksn2pysH8bN32J2kxWNAKkiTmTHiwlbaGtF%2BcphjJCiYA4JHC9pe%2FgFTXe%2FO%2BOpF7i69VKWV8NSHQUqyJnNnIN8ajVJChhG9cYPNZ0kOdi%2Bl%2FP6H5nrBXPcolRehwI%2F5DX7M4Yav4%2FHP1GtgQ9Uv7%2BuXk8s9e0jSRo%2Fw%2BR2PXL5Wx2sQDBP2rcpEHhLS05BGFD5BN%2BZabRXZQcGOAmVckS8vbTsTHqRtRjzT3DC0hiHfmfzmAI0X1cC502K9KmPva7npcJYINAC3uvHONgMb4lqH2o5O07jZ9zGjMODG554kJfPE%2BSUp9tUm1kTBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=53599506392&catId=50001519
애플 아이폰 13 미니 128GB 미개봉 새제품,"298,000원",https://cr.shopping.naver.com/adcr?x=n0OJQrKKtt79YXKHfaETzv%2F%2F%2Fw%3D%3DszwClTbDtwaYz%2BUSAYecEBFBCPmcB5j5FZeDQr%2BNSvwlyoYErd7Wx1dfdVO6hh7qVMq07IFvzJLwOmHCAMwR6H8KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiV%2F%2BqduCnLdmaLBXEPtE2%2FbXUypH%2BGbsWLTG%2FS2js7Rx0icFZ1rxlhAQy64TWQeiyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1J7CcSJ0DIUdHAyuPJ6A8oZznAAH%2FDJkgOxgHmnSf1jQEDW6PuCDBDx13KVgX8FmMQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtfvCuj%2Bl%2Fk5xKDMHdTdDjcf3CZzIeCWCvEIUSAX5GtK8mm1JLu3o30uX0kQP1eRkNXPxzVwb4Rm1cO0VlJ8WcQu0DIsfiSt0okbPcKH469FYpIF7AU2voW0WOe%2BLuOf5KwY%2Bd8nAIoDgRkrhkwFRlqwH%2FvAK7H2cXSP1Vv%2BeQTVVpZF%2BuO2XY48Pfq%2BTHL6fmtn6F36gR98dchw33rURwFA81Gi44tUFH1uRUKbnASPQVr%2BAkx9LVyb3lfSG8vlPUANsaHq7RNluveZP2G27JOm6xEEnoNWXv6b%2FeIPoUlPsV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=89710098371&catId=50001519
아이폰 16 128GB [자급제],"최저1,150,000원",https://cr.shopping.naver.com/adcr?x=ZNH3k5gx8PlQKXjOgDyyUv%2F%2F%2Fw%3D%3Ds2439QZOFs0fCrZcmW%2BOZFL0Rl5lkRSnnItwpJI%2BB9%2BjxTAJR5s3V3RheLYZrm3hTcC%2Fbzc1shf5lI72a0HKVdWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfU6Y3SqDuFw9JJKwvj3hBHe185FqQyCW03qCKaR5kUq2iOn%2Bj7IUQI8of0px3C%2Bdlw334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMseDeHF1JF21WI%2FSgEvV3dbY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpFBioyGYc1IlucKuBLuPxSHp%2BE1eXKkc9kdApaBnZebWsHPv45Edr5fvvv%2FlTzZa4WzGJCuZPACJzW0Yw%2FxnxP6onw%2BhTXSsLmYa6APqwpbF%2FVBDMIut42nyyM8MGNK2LFGsRl2PUazvcwFqYwQ5dSX13Pl1oCPsr6RUhUBBc6W60WIF0%2FFNK69g5vrsUBgEAZf0ECD7MHDc83cNzTnXMaCcbBeyxaJRYHkBZZ6z%2FCVke8FezYNDCcMRbzt05gpRAErSiTnn7awhGlV41%2BOZFNImllBfCPwhM6sqHXmm4e3WDzUaLji1QUfW5FQpucBI9ABIhskkcnGy1%2BVSfXfhOSQQS%2F%2BMZ%2B9GsYyT3GEHA0kFvepY5EFkWjUN8R3r9T%2BsvKCqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=53599047304&catId=50001519
아이폰 15 128GB [자급제],"최저949,900원",https://cr.shopping.naver.com/adcr?x=oIK8obpAyyYLNMIxPINPJ%2F%2F%2F%2Fw%3D%3Ds%2B%2FnMxYrfZEo2QaT6L%2BwCe9k6zCWR7hM9sa5zftaQwR3xTAJR5s3V3RheLYZrm3hT9J7N3ubknVrQ4KnICHF9Bmg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfU6Y3SqDuFw9JJKwvj3hBHe185FqQyCW03qCKaR5kUq2iOn%2Bj7IUQI8of0px3C%2Bdlw334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMti1w%2FECtV2qe1jnL4aM2gaY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpFBioyGYc1IlucKuBLuPxSHp%2BE1eXKkc9kdApaBnZebWsHPv45Edr5fvvv%2FlTzZa4WJF3AUZPBT1mtbCRdBCYr8TgSYLIqQ5ewjHnYkIgkYzfVBDMIut42nyyM8MGNK2LFGsRl2PUazvcwFqYwQ5dSXQmOpl2qXrcQtBm%2B%2BoouvqUWIF0%2FFNK69g5vrsUBgEAYIZqV5xFVwhriHFcTKeuLhcbBeyxaJRYHkBZZ6z%2FCVkRxUVyq%2FKgp%2B%2FanpiDJSmUAMMmXk4dr4YOexLC6xbrFEQg2I0xQ40jWibgJpAZqAObruoVk0MBFhxmRFA1PBjCmYTXW2s9umO343n%2BTztTUYzIgdugQzJMJjEVXJl6iTUVgn2QcFFhIoYlSOzM9ynk4dHI8FZtQVGFZJxOyBDKc%2B&nvMid=53599527966&catId=50001519
아이폰 16 256GB [자급제],"최저1,394,000원",https://cr.shopping.naver.com/adcr?x=0QgJp0%2B21Qol6oe3Pj9HDv%2F%2F%2Fw%3D%3Dsq44aGpUGgGkRUZsh5L6Q22Q1NJcJVsjn4sf7qAVAZm5yoYErd7Wx1dfdVO6hh7qVcaMWVKDVBmuA5ORkpVrpssKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiV%2F%2BqduCnLdmaLBXEPtE2%2FbXUypH%2BGbsWLTG%2FS2js7Rx0icFZ1rxlhAQy64TWQeihmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9C2S8lPfnVq83nXPWoxTzKsIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VEWjWWIrRfi9AiqOQ%2B6%2BMpY4Bzc9qTq2gTr6GtAuEqaI2vqR2unsG9Pw6XBns%2FftjJmn%2B6FVZ%2Fm0w7K7lHYQAO7zjel%2BFE1MLFIgXKiOz%2FDF9RC%2BzwYer6Ps69Q2%2FK%2BLLE6PxeWqIShoRU56gWA0uERBrKUzlukWNj%2F2t08R1%2BdUgR0u4mHXeAU64AEjUJpvLAzg%2BBa6PPRAjLeFX9tNLCB7mOdMYOkoY5sVPKEVGQYNFX7qdrohwf2mXTJyycD%2BabV9jvWjOIidVMpSpWRJOxrVRElTXAmmpl37nZkRqR4JZhEA05gK8hAvLf2DKAXXQSOv%2B%2BG7P8zZs54SDuTec41%2BQ0j1DJ%2BOXqLcvXdeK6wjJddyTV21lej7EaRAfAolkXLVWGr8fvvH1mWvUgXPK6j&nvMid=53599047322&catId=50001519
아이폰 15 프로 256GB [자급제],"최저1,393,900원",https://cr.shopping.naver.com/adcr?x=Sw%2BY2yDaxjlEOOJZ5xCrCv%2F%2F%2Fw%3D%3DsJvW8TO8ene50zWpf%2BPYR8kFztRSczYJFSga5HO4JxglyoYErd7Wx1dfdVO6hh7qVH%2FCyf8sD9SNcezXLW9saosKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiV%2F%2BqduCnLdmaLBXEPtE2%2FbXUypH%2BGbsWLTG%2FS2js7Rx0icFZ1rxlhAQy64TWQeihmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9BzJ2m9xzVX16%2FGarX%2B01r3Ik7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VEWjWWIrRfi9AiqOQ%2B6%2BMpY4Bzc9qTq2gTr6GtAuEqaI2vqR2unsG9Pw6XBns%2FftjJmn%2B6FVZ%2Fm0w7K7lHYQAO7HRy1YnZfgr3%2F4%2BLhS9qsjdRC%2BzwYer6Ps69Q2%2FK%2BLLE6PxeWqIShoRU56gWA0uERxsjmxioG%2F%2BfY%2Br%2FOPqjhfwR0u4mHXeAU64AEjUJpvLBH39t2EsJsi%2Fc7QxG0hfNH1vgAhZkA1vnLJCa97ULEq89Tqme0YK6uG79Xy6idNiHGvwUdVCshGZ0yqBiNBlkXPB%2F5uLD1%2BRuSktVw9KWcdCJzzkmp7NVB9v%2BazwsRa68BhNg6pO%2F%2Bw6bSRwW%2FduOkThHzgX%2F0kjkyaTojE7kSE8dNOxUg0Lb5QV%2BDNZl1VFEDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=53599860411&catId=50001519
Apple 아이폰 12 mini 자급제  화이트  128GB,"458,000원",https://cr.shopping.naver.com/adcr?x=oznG1qOww8MMLv1OM%2B348v%2F%2F%2Fw%3D%3DssA8GQ%2B6YpjKmUAFjkf1dbE8asFonXyDvwfNVltm3uvtyoYErd7Wx1dfdVO6hh7qVUO7ApOLhEuz8My%2FnaYKFTsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiV%2F%2BqduCnLdmaLBXEPtE2%2FbXUypH%2BGbsWLTG%2FS2js7Rx0icFZ1rxlhAQy64TWQei49gWwo4YAEWGPlnOMWQUB4qPKnSzTV71gbnTAjWaxQ8K0vzrc1MN6Wq0egkkOYlBlpstgOy9zp%2BUjPayjciHK1CKn5rFcfQ7z965oI0sayA9vUOXdxqvoxceUGcNydPMtO3giCU6bBNsNJy4lnpeasIczVljaOD%2Fisl2P1zGKq61WhOEoPJEiK9%2B0vZUYhMqEhgcBakZll6fQdiEpJHRDOAc3Pak6toE6%2BhrQLhKmiNr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu1ZavLF6Zet2np%2BiSyvRFZ2swzOwDYz%2F8g2%2FEftKomTpPhkxgTjb4exWG758fP%2FKbwdmmgCX70QyIbUCLnRm6Q7XdwMZv%2BsjaOq%2FaIlKn6P2ECH87fHZhhLCpY1aHdfFmOkBes1DM37moJ1cp0HRoA2q1sOscNPYaWO0PjHwqycUC%2Bp633m53JCQqoKkv9VJyCjW%2BzawcouxXAJE5Q4IDH%2BjrgWQ%2F0JBsjHud4pzo5y1EVCurZgZHRcbGYm2bc8WXyZqchHOSsRvSBS2vcr6QcyXSgDg8CKTNEQKDSCildyjQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=55795851881&catId=50001519
해외아이폰 5S 무음 공기계 인스타 카메라 감성사진 학생폰 세컨폰 실버 16GB 항공,"79,500원",https://cr.shopping.naver.com/adcr?x=FVRqQr3BrP%2FRYeDDwHFo%2Fv%2F%2F%2Fw%3D%3DsVRcXbKWrxrPD1fiJ7ZHDIe%2Fr989X7hjBvQ%2B%2FhRC43ApyoYErd7Wx1dfdVO6hh7qVsT5F1gePq2qysoZZyFrlk8KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojiV%2F%2BqduCnLdmaLBXEPtE2%2FbXUypH%2BGbsWLTG%2FS2js7Rx0icFZ1rxlhAQy64TWQeiyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF2nKXtodEASDw6nTifdB09vZznAAH%2FDJkgOxgHmnSf1jQEDW6PuCDBDx13KVgX8FmMQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtVvRvpQBNVcqOpEjk3WZRg2N2zRS5K8J2%2BA9UcqN7SksgQTAaHG5egb4muwzcbROOihV0DJx1uAzm5ILuLBbFkghwTs421x06c99CW0QrZnzfqPTN%2B05d9H18JGD6XDmAHxbg08DtX5MNPubB3la0IMRngZwEhw9d0GJ18ezc7Z%2Bwsn64vSUcwx7gO9BTfE%2FgWgAH2tiEOQbPT%2F%2BTgvjtYuyW27ln4xx667RCwfcPHaEDUqOUhmOGPYhBb4EAttwoYrkfx6OI1QHxHmsCHHFC3Xfg18M5UBnneQ7djD76%2F8XbMFpKiYMqvVE0Dkqt%2F9fJQTV%2Frz5bQ88%2BozGYgXRKz3g1kihJgNHc8l3rq5j9GSCA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=88862658133&catId=50000249
